translit,pos,english,logograms,cuneiform,freq
šunu,IP,they; those; every kind,,,392
ramānu,N,self; one's own,KUR,𒆳,390
gabbu,N,totality; all; the totality; (animal's) brain; whole; every; everything,,,388
zakāru,V,speak; mention; proclaim; say; be spoken; cause to speak; speaking; invoke,MU,𒈬,385
warhu,N,the moon; month; moon; first day of month; new moon,ITU ITI ITI-ME,,384
ūmâ,AV,today; now,,,382
dārû,AJ,lasting; forever; eternal; for ever; everlasting,,,381
rēʾû,N,shepherd; (a bird),SIPA SIPAD,,381
imittu,N,right side; right; right hand; support; shoulder; (a kind of jewelry); tenancy dues; right foot,ZAG ZAG.MU ZI ZAG.LU,𒍠,380
libittu,N,mudbrick; brickwork; block; slab,,,380
ubālu,V,bring; delivery; send; argue,,,380
hadîš,AV,happily; joyfully,,,378
petû,V,open; be opened; opening; expose; let flow; revealing; be(come) opened; open constantly,BAD,𒁁,378
šumēlu,N,the left; left hand; left side; left; left one; north; left (side),KAB,𒆏,378
nawru,AJ,bright; lustrous; shining; radiant; sharp; bright (thing); clear; lit,BU,𒁍,377
irtu,N,"(a kind of song); irtu-hymn; irtu-song; tone-scale; breast; chest; edge, frontage; breast-piece of animal's harness",GABA,𒃮,376
iṣu,N,tree; wood; wooden; stick; log,,,376
danānu,N,power; force; might; strength,,,375
narāmu,N,loved one; love; beloved (one),,,374
kasû,N,"mustard; tamarind; (a spice plant); captive; mustard?; (a plant); (designation of semiprecious stone); (spice plant, phps.) mustard",GAZI GAZI.SAR,,372
kiṣru,N,knot; cohort; contingent; concentration; lump; troop; group; rental,,,372
parzillu,N,iron; (a stone or bead); 'iron stone',AN.BAR,𒀭𒁇,371
pāṭu,N,border; edge,ZAG ZAG.ZAG ZAG-MU,𒍠,371
aššatu,N,wife,DAM DAM-BI,𒁮,369
ardu,N,slave; servant,ARAD-ME ARAD,𒀴𒈨,366
parāsu,V,cut (off); keep apart; open; stop; be cut off; decide; deciding; dividing,AL.KUD,,366
dabdû,N,defeat; bloodshed,,,365
pālihu,N,reverent one; one who fears; one who reveres,MUD,,358
wâru,V,go (up to); lead; going; accessing; command; advancing (against); appoint; approach,,,356
bêlu,V,rule (over); ruling (over),,,354
annuku,IP,I,,,352
akalu,N,bread; loaf; food; unit; (a small unit of capacity); @i{akalu},NINDA NINDA-HI.A NINDA.HI.A,,350
mannu,QP,who?; whoever; each,,,349
māmītu,N,oath; curse,SAG.BA,𒊕𒁀,349
bīnu,N,son; tamarisk; sprout,,,347
nīšu,N,lifting; raising; life; (broken) oath; (oath on the) life; oath; (oath on the life); living beings,ZI MU.SAG MU MU-DINGIR,𒍣,346
attā,IP,you,,,343
kabattu,N,liver; heart; mind; mood; innards; will; inside,DUGUD BAR.ZI,𒂂,343
kāru,N,quay; (a fish); port; custom,KAR,,343
arāku,V,be(come) long; lengthening; be(com)ing long; lengthen; be(come) protracted; being long; make long; prolong,,,339
narû,N,stele; foundation document,,,339
kalbu,N,dog; a fish,UR UR.A UR.KI UR.KU,𒌨,337
tebû,V,get up; arise; be(come) erect; rise; attack; arising; raise; raising,ZI ZI.GA,𒍣,337
ṣehru,AJ,small; short; young; junior; slight; younger; low; young boy,TUR.TUR TUR,𒌉𒌉,336
KIMIN,AV,ditto,KIMIN,,335
qaštu,N,bow; archer; bow-star,MUL.PAN,,335
šaplû,AJ,lower; suffixed; lower part,KI.TA,𒆠𒋫,335
šinnu,N,tooth; ivory; blade (of tool),,,334
ramû,V,slacken; release; throw; let loose; absolving; be(come) undone; establish; throwing,,,333
danānu,V,be(come) strong; reinforce; be(com)ing strong; strengthen; make strong; making strong; prevail; strengthening,KAL,𒆗,332
ebēru,V,cross over; cross; bring across; crossing; extend; paint (the face); painting the face; bringing across,BAL,𒁄,332
qerēbu,V,be(come) close; come near; approach; bring; be presented; bringing; present; put near,KU.NU,𒆪𒉡,332
šiddu,N,length; curtain; side; line; ribbon?; bank; district; long side,,,332
etēqu,V,go past; move along; pass; proceed; allow to pass; averting; be gone through; crossing,DIB,𒁳,329
labāru,V,be(come) old; last a long time; endure; last long; lasting long; live long; make long-lasting; reaching old age,SUMUN,,328
šanû,V,do twice; compete; report; repeat; be(come) changed; change; changing; double,MAN,,328
liwītu,N,packaging; circumference; frame; enclosure; environs; area; limits; entourage,,,325
našāqu,V,kiss; kissing; make kiss; keep kissing,,,325
ubānu,N,finger; Finger (on liver); Finger (on lung); unit; finger?; toe; (a small cucumber); finger's breadth,U SI,𒌋,325
ištēniš,AV,together; completely; equally; at the same time,UR.BI,𒌨𒁉,324
ištēn,NU,one; first; single; first one,,,323
erābu,V,enter; bring in; bringing in; come in; entrance; entry; occultation; entering,,,322
bēru,N,double hour; league; unit; mile; selected one; a unit of time,DANNA,,321
maḫru,N,front; X; before; past (time),IGI,𒅆,321
sahāpu,V,envelop; overwhelm; enveloping; overturn; overwhelming; covering; be overwhelmed; cause to overwhelm,,,321
šaṭru,AJ,written; copied,GUB AB.SAR SAR,𒀊𒊬,319
ebbu,AJ,bright; pure; clean; clear; clean (garments),DADAG,,315
raṣāpu,V,build; erect; erecting,,,315
ittu,N,sign; peculiarity; characteristic; ominous condition; portent; written proof; agreed point; part of a garment,GISKIM GISKIM.BI GISKIM-ME,,314
šarāpu,V,burn; ignite; burning,,,312
anhūtu,N,tiredness; dilapidation; dilapidated section(s),,,307
gīru,N,fire(-god); fire,,,307
minnabu,AJ,sign two times,,,307
zumru,N,body; person; interior,SU SU-MU ZU-MU,𒋢,307
ēkurru,N,temple; chapel; sanctuary,,,307
lipiu,N,(animal) fat; pith; tallow; marrow,,,306
šittu,N,sleep; excrement; remnant; rest; remainder; (a kind of meat); leftovers,,,305
ikribu,N,prayer; blessing,,,304
mâtu,V,die; kill; put someone to death; to die,GAM GAM-ME,𒃵,304
ahāzu,V,take; find; grasp; seize; cause to take; learn; learning; set fire to,,,303
artu,N,branches; foliage; leaves; branch,PA,𒉺,302
labīru,AJ,old; original (tablet); original; previous; earlier,SUMUN LIBIR.RA TIL,𒌀,302
nūnu,N,fish; the sign NUN,,,301
parṣu,N,office; ordinance; rite; ritual; divine powers; (cultic) ordinance; cultic regulation; rites,GARZA,,301
edû,V,know; be aware; make known; knowing; identify; knowledge; causing to know; making known,ZU ZU.ZU,𒍪,300
šebû,V,be(come) full; be(come) sated; satisfy; be(come) full (of); be filled; be(come) satisfied; be(com)ing full; be(coming) satisfied,,,300
ṣerru,N,snake; socket for doorpost; enmity; snake fish,,,300
mamman,XP,somebody; anyone; whoever; anybody; nobody; any; some,,,299
bāšû,AJ,existing,,,295
gušūru,N,tree-trunk; beam; log,,,295
itû,N,boundary; around; edge; border; all around; alongside; side,,,295
šeʾu,N,barley; grain; the sign ŠE,,,294
šâšu,IP,him; (to/of) him; that,,,294
igāru,N,wall; side of a boat; side of boat; (meaning uncertain),IZ.ZI,,293
sissû,N,horse,KUR KUR.RA,𒆳,293
zāninu,N,provisioner,,,293
lītu,N,cow; victory; cattle; power,,,291
uqnû,N,lapis lazuli,,,291
šasû,V,shout; raise one's voice; buzz continually; call out; cry out; read aloud; be called out; continually shout,,,291
šanû,AJ,(an)other; second; the other; alternatively; deputy; different; another; strange,,,290
kalû,V,hold (back); hang on; stop; withhold; cease; linger; detain; holding (back),GUL,𒄢,289
ṭiābu,V,be(come) good; make good; pleasing; be(come) agreeable; being agreeable; be(come) satisfied; (thing) made good; being good,,,289
labāšu,V,clothe oneself; being clad in; put on; clothe; coat; don; be clothed; clothing oneself,,,288
namāšu,V,set oneself in motion; setting oneself in motion; set (one self) in motion; set (oneself) in motion; set (o.s.) in motion; set out,,,288
šurmēnu,N,cypress,,,288
tabāku,V,pour (out); heap up; pile up; spill out; discard; pouring (out); spill; pouring out,,,286
ṣehru,N,small one; child; boy; girl; slow arc; small unit; (time of) youth; childhood,TUR TUR.RA,𒌉,286
lapāni,PRP,in front of; from before; before; by; from; on account of,,,285
kišittu,N,achievement; conquest; booty,KUR,𒆳,283
ṭehû,V,be(come) near; approach; come near; present; be(come) near to; come close; approaching; to approach,TE,𒋼,283
patānu,V,dine; dining; be(come) strong; be(com)ing strong; make strong; strengthening; become strong,,,280
riksu,N,binding; task; band; cosmic bond; knot; ritual assemblage; contract; joint,DUR,,280
maštakal,N,(an alkaline plant); (a soapwort),,,279
muḫḫu,N,skull; cranium; X; brain; head; on,UGU UGU-MU,,279
zikaru,N,male; boy; man,NITA,,279
šâlu,V,ask; ask one another; rejoice; ask oneself; interrogate; asking; ponder; question,,,279
rabiu,N,big one; magnate,GAL-SIMUG.KUG.GI,,278
nêru,V,kill; killing; striking; strike,GAZ RA,𒊏,277
agû,N,tiara; crown; wave; flood; corona; round axe; ax; corona (of planet),AGA A.GA,𒀀𒂵,275
kalāma,N,all (of it); anything; everything; any; whole; everywhere,,,275
dīnu,N,legal decision; judgment; case; lawsuit; judgement; sentence; trial; (legal) case,DI,𒁲,274
urhu,N,way; path; road; month,ITI,,273
našû,AJ,lifted; bearing; carrying; holding; carried; imbued with; imbued; lifting,,,272
kikû,N,the sign KI,,,271
kukuru,N,(an aromatic tree); (an aromatic product from the tree); (an aromatic plant),,,271
musukkannu,N,Magan-tree; Dalbergia sissoo,,,271
haṭṭu,N,stick; scepter; sceptre; staff,GIDRU PA.PA,𒉺𒉺,270
magāru,V,consent; agreement; give up; reconcile; yield; cause to agree; accept; be(com)ing favourable,,,270
waklu,N,overseer,UGULA,,269
kittu,N,steadiness; justice; righteousness; truth; loyalty; reliability; stability; true words,GI,𒄀,268
šukkallu,N,(a court official); minister; secretary; superintendent; vizier,SUKKAL,,268
bāru,N,the sign BAR,,,267
šāru,N,wind; spirit; flatulence; breath; cardinal point; unit; (meaning unknown); direction,IM,𒅎,267
ṭābtu,N,goodness; salt; good intent; favour; friend,MUN EN-MUN EN-MUN-HI.A MUN-HI.A,,267
sanāqu,V,"check; bother; control; check, approach; approach; come near; creep up on; interrogating",,,266
adû,N,(day's) work; leader; a (day's) work; (treaty-)oath; treaty,,,265
dišpu,N,honey; syrup,,,265
qamû,V,burn (up); burning (up); burning up; be burned up; cause to burn; burn,,,265
barû,V,see; look at; perform extispicy; check; observing; oversee; remain visible; collate,,,264
dārītu,N,perpetuity; eternity; everlasting,,,264
nadû,AJ,placed; laid down; twisted; abandoned; lying (down); thrown; containing; fallow,,,264
qarnu,N,horn; prow; horn-shaped drinking vessel,SI,𒋛,264
eqû,V,anoint; apply; daub; smear; paint; rub repeatedly; smearing on,MAR,𒈥,263
puluhtu,N,fear(someness); terror; fear; awesomeness; reverence,,,263
līmu,N,eponym (of year),,,262
pahāru,V,gather; assemble; assembling; gathering; to gather; collect,NIGIN,,262
ū,CNJ,or,,,262
šiknu,N,act of putting; appearance; nature; deposit; extent; form; (characteristic) nature; sediment,,,261
dagālu,V,see; await; look at; look; seeing; entrust; make subject to; make watch,,,260
eperu,N,earth; dust; dush; dirt; (loose) soil; mortar; ore,SAHAR SAHAR.HI.A SAHAR-HI.A SAHAR.BI,,260
bēl pīhāti,N,provincial governor; governor,EN.NAM,𒂗𒉆,259
napāhu,V,blow; shine; blowing; light up; light; appear; be blown upon?; continually light up,KUR,𒆳,259
abālu,V,dry (up); dry (up) constantly; dry out; drying up; bring; send,,,258
dumqu,N,"goodness; well-being; best; bounty; good (thing); welfare; goodness, good (thing); good will",,,258
eṭlu,N,young man; man; manly; manly one,KAL,𒆗,257
qiāšu,V,give; bestow; bestow on; grant; giving; to donate; present; presenting,BA,𒁀,257
suluppu,N,date; date fibre,,,257
šī,IP,she; that; this,BI,𒁉,257
mūšabu,N,dwelling; residence; seat; site,,,255
asīru,N,captive; prisoner of war,A.SI.A.RUM A.SI.RU A.SI.RU.UM A.SI.RUM,𒀀𒋛𒊒,254
udû,V,know,ZU,𒍪,253
annurig,AV,now,,,251
sāmu,AJ,"red; flushed; red, brown one; red, brown; red?",,,250
ša qāti,PRP,under the authority of,,,249
puhru,N,assembly; temple assembly; assemblage; totality; (a tool); army,UKKIN UKKIN.NA,,248
kitû,N,flax; linen; linen garment; linen cloth,GADA,,246
râmu,V,love; be loved; make love; loving; present to; endow; to love; constantly love,,,245
šaptu,N,lip; word; crest (of a wall); crest; bank; edge,,,245
ayyābu,N,enemy,,,244
ṭupšarru,N,scribe,DUB.SAR A.BA A.ZU,𒁾𒊬,244
nisiqtu,N,selection,,,243
nērebu,N,entrance; (mountain) pass; entering; pass,,,242
lišānu,N,tongue; news; blade; language; (commercial) relation; report; speech; rumour,EME EME-MU,,238
malû,AJ,full; filled; filling; covered; completed; (meaning uncertain),,,238
rīštu,N,rejoicing; celebration; joy; delight; exultation,,,238
hīpu,N,break(age); broken place; gully; break,GAZ,,237
purussû,N,decision; verdict; (legal) decision; verdict by gods,,,236
ṣulūlu,N,roof; protection; shelter; shade; crown (of a tree),,,236
dadmū,N,villages; inhabited world; settlements; dwellings,,,234
rēmu,N,womb; compassion; mercy,,,234
arku,AJ,long,,,233
kaššaptu,N,sorceress; witch,,,233
ṣubātu,N,"textile; garment; towel; bark; cloth; clothing; cortex? of palm tree; textile, garment",,,233
warādu,V,go down; come down; bring down; leave; descend; coming down; descending; send down,,,232
šuršu,N,root; foundations,,,232
lapātu,V,touch; fondle; trouble; allow to touch; anoint; smear; destroy; affect with,TAG.TAG TAG TAG-ME TAG.GA,𒋳𒋳,231
papāhu,N,cella; reception room,,,230
kayyānu,AJ,constant; constantly; regularly; steady; constantly present; normal; regular; permanent,,,229
ṣiātu,N,distant time; commentary; commentary (on words excerpted from text); (scholastic) explanation; eternal,UL UL.LA,,229
nību,N,"naming; name, number; number; numbering; small piece?; small piece; name; amount",MU,𒈬,228
šaʾālu,V,ask,,,228
niṣirtu,N,treasure; secret; fortress; hypsoma; protection; secluded place,,,227
sattukku,N,regular deliver; regular offering; regular delivery,,,227
pagru,N,body; carcass; corpse; self,ADDA,,225
nibītu,N,naming; invoked; (one) nominated by; invocation; name,,,224
retû,V,drive in; hang; insert; fix; stare; to drive in; driving in; constantly install,,,223
dannūtu,N,strength; fortress,,,222
ekēmu,V,remove; take away; taking away; removing; carry away,KAR,,222
ezzu,AJ,furious; fierce; angry; violent; raging,,,222
migru,N,consent; favorable one; favorable; contentedness; favourite; initiative,,,222
birtu,N,fort; riffraff; fortifications,,,221
gabadibbu,N,parapet,,,221
mašmaššu,N,incantation priest; exorcist,,,221
parû,N,mule,,,221
hašālu,V,crush; crushing; pounding up; be crushed; make crush,GAZ,,220
šiāmu,V,fix; decree; be decreed; be determined; determine; destine; determining; decreeing,,,220
akī,PRP,"as; like; with; as, like; in accordance with; when; that; how",,,219
kīam,AV,so; thus,,,219
mīlu,N,high water; flood; high waters; flood(ing),A.ZI.GA ILLU ILLU-ME A.KAL,𒀀𒍣𒂵,219
rīmu,N,wild bull; residence; (stone) bull,AM AM.AM,,218
tarmuš,N,lupin; lupine,,,218
mehretu,N,opposite side; equal to; front; instead of; opposite; in front of; towards,GABA.RI,𒃮𒊑,217
ṣullû,V,beseech; beseeching; constantly beseech; supplicate; pray to,,,217
biātu,V,"spend the night; stay overnight, spend the night; stay overnight; let stand overnight; spending the night",,,216
lubuštu,N,clothing; garment; covering; robe,,,216
nakkaptu,N,brow; temple,SAG.KI,𒊕𒆠,214
pīru,N,elephant,AM.SI,,214
bibbu,N,planet; (a designation of plague); (a kind of wild sheep); wild sheep; herd; livestock,UDU.IDIM,,213
lamassu,N,(female) tutelary deity; protecting goddess; good fortune; protective spirit; (a type of sphinx),KI.TI.LA,𒆠𒋾𒆷,213
šarratu,N,queen,,,213
pīlu,N,limestone,,,212
tību,N,arousal; bulge; attack; onset; rising; throbbing; aggression; rising of an object,ZI ZI.GA,𒍣,212
watāru,V,be(come) outsize; make excessive; increase; be(come) greater; do to excess; exaggerate; exceed; increasing,DIRI,,212
šina,NU,two,MIN,𒈫,211
hīṭu,N,error; penalty; sin; crime; guilty person; punishment; fault; harm,,,209
šalāšī-,AV,thrice; three time; three times,,,209
ziqqurratu,N,ziggurat; ziggurrat,,,208
dayyānu,N,judge,DI.KUD,,207
erbu,N,income; entrance; gifts; (sun)set; duty; sunset,,,207
pāhutu,N,responsibility; governor; province,NAM EN.NAM,𒉆,207
kirû,N,(fruit) plantation; garden; orchard; date-grove,,,206
lagabbu,N,the sign LAGAB; lump; the LAGAB sign,,,206
nīnû,N,(a medicinal plant); mint; Ammi?,KUR.RA,𒆳𒊏,206
sakāpu,V,push down; push away; rest; lie down to rest; lie down; overthrow; pushing down; resting,,,206
uṭṭatu,N,barley; grain; unit; seed; 1 grain (as unit of weight); edible grain; (a unit of capacity),KU.KU,𒆪𒆪,206
dīktu,N,fighting; defeat; slaughter,,,205
littūtu,N,(extreme) old age,,,205
šâtunu,IP,those,,,205
ṭīdu,N,clay; mud,IM,𒅎,205
qištu,N,forest; hair; wood,GIR.TIR,,204
lumnu,N,evil; misdeed; bad (state); evil action; evil deed,HUL,,203
naparšudu,V,flee; fleeing; escape repeatedly; escape; escaping; fall into desuetude,,,203
ušû,N,ebony; diorite; the sign EŠ,,,203
melemmu,N,fearsome radiance; aura; healthy glow,,,202
šallatiš,AV,as booty,,,202
apālu,V,pay; reply; answer; answering; satisfy; stand in for; answering one another; fulfill,,,200
birītu,N,space between; dividing baulk; middle part; fetter; alley; between,DAL.BA.AN.NA DAL.BA.NA,,200
šamû,V,hear; inform; listen to; be(come) heard; hearing; keep listening to; make known; make someone hear,,,200
šunūti,IP,them; those; these,BI,𒁉,200
karāšu,N,catastrophe; devastation; disaster; military camp; army; campaigning army; expeditionary force; military forces,,,199
rašādu,V,found; establish firmly; laying foundation; 'lay' foundation; establishing firmly; fasten securely; fastening securely; lay foundations of,,,199
ultu,PRP,from; after; since,TA,𒋫,199
appu,N,nose; top; beak; tip; crown of tree; levee; peak,,,198
inbu,N,fruit; charm; passion; pleasure; bulb; flower; sexual appeal,GURUN,𒄧,198
walādu,V,give birth; giving birth; give birth (to); create; engender; giving birth (to); produce; give birth to,,,198
patru,N,sword; knife; dagger,,,197
qarrādu,N,hero; warrior; warlike,UR.SAG,𒌨𒊕,197
qinnu,N,nest; family; clan; den; (meaning uncertain),,,197
sikkatu,N,peg; (a serious illness); yeast?; cone; plowshare,GAG,,197
šadādu,V,drag; draw; stretching; survey; endure; fetch; hang; put up with,,,197
murṣu,N,illness; illnes; grief,GIG GIG-BI,𒍼,196
uṣû,V,go out; bring out; come out; departure; hatching; bring up; bringing out; coming out,,,196
